OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,BLDGID,MEAN_AVGHT,Shape_Leng,donut,Field1,OID_,Time_UTC,Lat,Lon,Temp_K_,DewPoint_K_,RelHumid,Pressure,RadDir_Wm_2_,RadDiff_Wm_2_,LWRad,SWNorm,SWRad,WindDir_from_,WindSpeed_ms_1_,SnowDepth_cm_,x,coord,coord_X,coord_Y,T_F,BUFF_DIST,ORIG_FID,ORIG_FID_1,Shape_Area_1,Shape_Length,Shape_Area
1,1,0,1,1.000000000000000,1.740000000000000,0.000695549555438,0,254,254,2015-01-01_00:00:00,41.867863000000000,-87.628662000000006,268.066345000000010,254.838196000000010,33.859229999999997,100110.828125000000000,0,0,181.892899000000000,0,0,240.166428000000000,7.656197000000000,0,NA,41.867863 -87.628662,-87.628662000000006,41.867863000000000,22.849421000000000,45.000000000000000,254,254,0.000000878399211,0.003788687999986,0.000000015475677
2,2,1,2,2.000000000000000,2.170000000000000,0.000734336245368,0,253,253,2015-01-01_00:00:00,41.867859000000003,-87.629822000000004,268.060973999999990,254.834578999999990,33.868053000000003,100104.312500000000000,0,0,181.908829000000000,0,0,240.380661000000000,7.700670000000000,0,NA,41.867859 -87.629822;41.867863 -87.628662,-87.629822000000004,41.867859000000003,22.839753200000001,45.000000000000000,253,253,0.000000878399211,0.003788687999986,0.000000016979065
3,2,2,3,4.000000000000000,2.970000000000000,0.000606568577303,0,253,253,2015-01-01_00:00:00,41.867859000000003,-87.629822000000004,268.060973999999990,254.834578999999990,33.868053000000003,100104.312500000000000,0,0,181.908829000000000,0,0,240.380661000000000,7.700670000000000,0,NA,41.867859 -87.629822;41.867863 -87.628662,-87.629822000000004,41.867859000000003,22.839753200000001,45.000000000000000,253,253,0.000000878399211,0.003788687999986,0.000000013618229
4,1,3,4,5.000000000000000,3.030000000000000,0.000679890482800,0,254,254,2015-01-01_00:00:00,41.867863000000000,-87.628662000000006,268.066345000000010,254.838196000000010,33.859229999999997,100110.828125000000000,0,0,181.892899000000000,0,0,240.166428000000000,7.656197000000000,0,NA,41.867863 -87.628662,-87.628662000000006,41.867863000000000,22.849421000000000,45.000000000000000,254,254,0.000000878399211,0.003788687999986,0.000000015627498
5,1,4,5,10.000000000000000,3.730000000000000,0.000550616701134,0,256,256,2015-01-01_00:00:00,41.867870000000003,-87.626403999999994,268.076873999999980,254.845337000000000,33.842334999999999,100124.679688000000000,0,0,181.862213000000000,0,0,239.700774999999990,7.575788000000000,0,NA,41.86787 -87.626404,-87.626403999999994,41.867870000000003,22.868373200000001,45.000000000000000,256,256,0.000000878399211,0.003788687999986,0.000000015317200
6,2,5,6,11.000000000000000,8.940000000000000,0.000689932097540,0,253,253,2015-01-01_00:00:00,41.867859000000003,-87.629822000000004,268.060973999999990,254.834578999999990,33.868053000000003,100104.312500000000000,0,0,181.908829000000000,0,0,240.380661000000000,7.700670000000000,0,NA,41.867859 -87.629822;41.867863 -87.628662,-87.629822000000004,41.867859000000003,22.839753200000001,45.000000000000000,253,253,0.000000878399211,0.003788687999986,0.000000020464635
7,1,6,7,12.000000000000000,8.660000000000000,0.000689932087688,0,254,254,2015-01-01_00:00:00,41.867863000000000,-87.628662000000006,268.066345000000010,254.838196000000010,33.859229999999997,100110.828125000000000,0,0,181.892899000000000,0,0,240.166428000000000,7.656197000000000,0,NA,41.867863 -87.628662,-87.628662000000006,41.867863000000000,22.849421000000000,45.000000000000000,254,254,0.000000878399211,0.003788687999986,0.000000020464635
8,1,7,8,14.000000000000000,17.770000000000000,0.001306989348840,0,256,256,2015-01-01_00:00:00,41.867870000000003,-87.626403999999994,268.076873999999980,254.845337000000000,33.842334999999999,100124.679688000000000,0,0,181.862213000000000,0,0,239.700774999999990,7.575788000000000,0,NA,41.86787 -87.626404,-87.626403999999994,41.867870000000003,22.868373200000001,45.000000000000000,256,256,0.000000878399211,0.003788687999986,0.000000092572499
9,1,8,9,15.000000000000000,8.310000000000001,0.001575365816000,0,257,257,2015-01-01_00:00:00,41.867877999999997,-87.625243999999995,268.081451000000020,254.848662999999990,33.836044000000001,100132.203125000000000,0,0,181.845108000000010,0,0,239.489655000000000,7.534613000000000,0,NA,41.867878 -87.625244,-87.625243999999995,41.867877999999997,22.876611799999999,45.000000000000000,257,257,0.000000878399211,0.003788688000100,0.000000144331185
10,2,9,10,17.000000000000000,9.029999999999999,0.000689933900077,0,253,253,2015-01-01_00:00:00,41.867859000000003,-87.629822000000004,268.060973999999990,254.834578999999990,33.868053000000003,100104.312500000000000,0,0,181.908829000000000,0,0,240.380661000000000,7.700670000000000,0,NA,41.867859 -87.629822;41.867863 -87.628662,-87.629822000000004,41.867859000000003,22.839753200000001,45.000000000000000,253,253,0.000000878399211,0.003788687999986,0.000000020464791
11,1,10,11,18.000000000000000,8.720000000000001,0.000689933872533,0,254,254,2015-01-01_00:00:00,41.867863000000000,-87.628662000000006,268.066345000000010,254.838196000000010,33.859229999999997,100110.828125000000000,0,0,181.892899000000000,0,0,240.166428000000000,7.656197000000000,0,NA,41.867863 -87.628662,-87.628662000000006,41.867863000000000,22.849421000000000,45.000000000000000,254,254,0.000000878399211,0.003788687999986,0.000000020464789
12,2,11,12,19.000000000000000,12.029999999999999,0.002571664834620,0,234,234,2015-01-01_00:00:00,41.867023000000003,-87.626403999999994,268.070374000000020,254.844710999999990,33.871696000000000,100125.968750000000000,0,0,181.849608999999990,0,0,239.594223000000000,7.573242000000000,0,NA,41.867023 -87.626404;41.86787 -87.626404,-87.626403999999994,41.867023000000003,22.856673199999999,45.000000000000000,234,234,0.000000878387867,0.003788660000055,0.000000162025185
13,2,12,13,20.000000000000000,92.269999999999996,0.002506309169110,0,257,257,2015-01-01_00:00:00,41.867877999999997,-87.625243999999995,268.081451000000020,254.848662999999990,33.836044000000001,100132.203125000000000,0,0,181.845108000000010,0,0,239.489655000000000,7.534613000000000,0,NA,41.867878 -87.625244;41.867886 -87.624115,-87.625243999999995,41.867877999999997,22.876611799999999,45.000000000000000,257,257,0.000000878399211,0.003788688000100,0.000000202076738
